('n', 'uj', 'n') 28
('n', 'd', 'yg') 1
('n', 'p', 'm') 1
('nr', 'x', 'c') 1
('a', 'n', 'nr') 1
('q', 'n', 'n') 1
('n', 'z', 'zg') 1
('nrt', 'v', 'vn') 1
('v', 'q', 'nr') 1
('uj', 'j', 'ul') 1
('r', 'r', 'r') 1
('n', 'vn', 'r') 1
('p', 'v', 'm') 1
('r', 'ns', 't') 1
('n', 's', 'uj') 1
('n', 'ad', 'o') 1
('v', 'r', 'ag') 1
('c', 'r', 'p') 1
('ud', 'd', 'a') 1
('f', 'nrt', 'n') 1
('n', 'p', 's') 1
('i', 'uv', 'y') 1
('l', 'v', 'uj') 1
('c', 'd', 'l') 1
('zg', 'r', 'v') 1
('ul', 'y', 'vn') 1
('v', 'c', 'p') 1
('uj', 'q', 'y') 1
('a', 'uj', 'v') 1
('l', 'uj', 'ns') 1
('q', 'n', 'v') 1
('ul', 'p', 'ul') 1
('z', 'uj', 'nz') 1
('n', 'ng', 'n') 1
('ad', 'v', 'n') 1
('d', 'v', 'u') 1
('r', 'n', 'r') 1
('uj', 'nz', 'nr') 1
('uj', 'l', 'v') 1
('v', 'p', 'a') 1
('a', 'm', 'vn') 1
('j', 'a', 'uj') 1
('zg', 'mq', 'ns') 1
('zg', 'n', 'uv') 1
('d', 'uv', 'p') 1
('c', 'v', 'a') 1
('d', 'a', 'q') 1
('m', 'v', 'v') 1
('b', 'n', 'a') 1
('f', 'r', 'n') 1
('uj', 'n', 'p') 1
('v', 'd', 'zg') 1
('uj', 'nt', 'r') 1
('uv', 'p', 'n') 1
('m', 'v', 'c') 1
('zg', 'r', 'l') 1
('nz', 'r', 'd') 1
('r', 'n', 'l') 1
('n', 'r', 'c') 1
('m', 'c', 'v') 1
('p', 'i', 'r') 1
('n', 'a', 'uj') 1
('v', 'ug', 'n') 1
('p', 'n', 'mq') 1
('ul', 'm', 'nr') 1
('r', 'v', 'zg') 1
('ul', 's', 'uj') 1
('uj', 'vn', 'n') 1
('nz', 'y', 'uj') 1
('v', 's', 'uj') 1
('a', 'z', 'uj') 1
('d', 'ud', 'ul') 1
('n', 'm', 'p') 1
('nr', 'uj', 'a') 1
('uj', 'c', 'v') 1
('i', 'v', 'r') 1
('v', 'uj', 'v') 1
('d', 'v', 'uj') 1
('u', 'v', 'v') 1
('uj', 'ns', 'u') 1
('i', 'uj', 'a') 1
('m', 'nr', 'uj') 1
('m', 'r', 'v') 1
('vn', 'v', 'r') 1
('v', 'f', 'uj') 1
('vn', 'v', 'v') 1
('nrfg', 'm', 'i') 1
('nr', 'd', 'n') 1
('nrt', 'l', 'c') 1
('i', 'p', 's') 1
('d', 'v', 'q') 1
('v', 'c', 'nz') 1
('v', 'x', 'nr') 1
('ns', 't', 'p') 1
('f', 'nr', 'd') 1
('i', 'v', 'nz') 1
('m', 'uj', 'v') 1
('f', 'r', 'v') 1
('uj', 'n', 'nrt') 1
('l', 'zg', 'c') 1
('df', 'l', 'l') 1
('n', 'n', 'l') 1
('q', 'f', 'd') 1
('an', 'uj', 'l') 1
('v', 'eng', 'nr') 1
('f', 'n', 'v') 1
('t', 'uj', 'ns') 1
('u', 'm', 'd') 1
('v', 'c', 'v') 1
('m', 't', 'n') 1
('n', 'v', 'nz') 1
('ug', 'ul', 'm') 1
('c', 'c', 'b') 1
('r', 'c', 'v') 1
