('a', 'a', 'n')
('ns', 'uj', 'an')
('ns', 'uj', 'n')
('ns', 'uj', 'y')
('ns', 'ul', 'x')
('ns', 'uv', 'v')
('ns', 'v', 'm')
('ns', 'vn', 'u')
('ns', 'x', 'c')
('ns', 'x', 'd')
('ns', 'x', 'm')
('ns', 'x', 'ns')
('ns', 'x', 'r')
('ns', 'x', 'x')
('ns', 'yg', 'v')
('ns', 'zg', 'x')
('nt', 'n', 'uj')
('nt', 'n', 'vn')
('nt', 'v', 'v')
('nz', 'd', 'v')
('nz', 'f', 'd')
('nz', 'n', 'x')
('nz', 'nz', 'x')
('nz', 'p', 'eng')
('nz', 'r', 'd')
('nz', 'uj', 'n')
('nz', 'uv', 'v')
('nz', 'v', 'd')
('nz', 'v', 'n')
('nz', 'v', 'ul')
('nz', 'x', 'n')
('o', 'uj', 'x')
('o', 'uv', 'p')
('o', 'uv', 'v')
('o', 'x', 'x')
('p', 'a', 'd')
('p', 'a', 'n')
('p', 'a', 'r')
('p', 'a', 'uj')
('p', 'a', 'uv')
('p', 'a', 'v')
('p', 'a', 'x')
('p', 'a', 'zg')
('p', 'b', 'n')
('p', 'c', 'd')
('p', 'd', 'd')
('p', 'd', 'i')
('p', 'd', 'n')
('p', 'd', 'p')
('p', 'd', 'uj')
('p', 'd', 'v')
('p', 'eng', 'c')
('p', 'f', 'r')
('p', 'f', 'uj')
('p', 'j', 'n')
('p', 'l', 'x')
('p', 'm', 'a')
('p', 'm', 'c')
('p', 'm', 'f')
('p', 'm', 'm')
('p', 'm', 'n')
('p', 'm', 'p')
('p', 'm', 'r')
('p', 'm', 'uj')
('p', 'm', 'v')
('p', 'm', 'x')
('p', 'n', 'ad')
('p', 'n', 'c')
('p', 'n', 'd')
('p', 'n', 'f')
('p', 'n', 'l')
('p', 'n', 'm')
('p', 'n', 'n')
('p', 'n', 'nr')
('p', 'n', 'nz')
('p', 'n', 'p')
('p', 'n', 'r')
('p', 'n', 's')
('p', 'n', 'u')
('p', 'n', 'uj')
('p', 'n', 'v')
('p', 'n', 'vg')
('p', 'n', 'vn')
('p', 'n', 'x')
('p', 'n', 'y')
('p', 'n', 'yg')
('p', 'n', 'z')
('p', 'n', 'zg')
('p', 'ng', 'ng')
('p', 'ng', 'v')
('p', 'nr', 'd')
('p', 'nr', 'r')
('p', 'nr', 's')
('p', 'nr', 'uj')
('p', 'nr', 'v')
('p', 'nr', 'vn')
('p', 'nr', 'x')
('p', 'ns', 'c')
('p', 'ns', 'n')
('p', 'ns', 'v')
('p', 'nt', 'n')
('p', 'nt', 'v')
('p', 'nz', 'v')
('p', 'p', 'n')
('p', 'p', 'r')
('p', 'q', 'n')
('p', 'q', 'v')
('p', 'r', 'a')
('p', 'r', 'c')
('p', 'r', 'd')
('p', 'r', 'i')
('p', 'r', 'l')
('p', 'r', 'm')
('p', 'r', 'n')
('p', 'r', 'ng')
('p', 'r', 'nr')
('p', 'r', 'p')
('p', 'r', 'q')
('p', 'r', 'r')
('p', 'r', 's')
('p', 'r', 't')
('p', 'r', 'u')
('p', 'r', 'uj')
('p', 'r', 'v')
('p', 'r', 'vg')
('p', 'r', 'x')
('p', 'r', 'y')
('p', 'rr', 'vn')
('p', 's', 'f')
('p', 's', 'i')
('p', 's', 'r')
('p', 's', 's')
('p', 's', 'v')
('p', 's', 'z')
('p', 't', 'n')
('p', 't', 'r')
('p', 't', 'v')
('p', 'u', 'v')
('p', 'ug', 'uj')
('p', 'uj', 'n')
('p', 'uj', 'v')
('p', 'ul', 'i')
('p', 'ul', 'm')
('p', 'ul', 'r')
('p', 'ul', 'zg')
('p', 'v', 'f')
('p', 'v', 'm')
('p', 'v', 'n')
('p', 'v', 'nr')
('p', 'v', 'nz')
('p', 'v', 'q')
('p', 'v', 'r')
('p', 'v', 'ud')
('p', 'v', 'ug')
('p', 'v', 'uj')
('p', 'v', 'ul')
('p', 'v', 'v')
('p', 'v', 'x')
('p', 'v', 'zg')
('p', 'vn', 'd')
('p', 'vn', 'f')
('p', 'vn', 'v')
('p', 'vn', 'x')
('p', 'x', 'c')
('p', 'x', 'd')
('p', 'x', 'n')
('p', 'x', 'p')
('p', 'x', 'r')
('p', 'x', 'x')
('p', 'x', 'zg')
('p', 'y', 'x')
('p', 'zg', 'f')
('p', 'zg', 'n')
('p', 'zg', 'q')
('q', 'a', 'v')
('q', 'a', 'x')
('q', 'd', 'c')
('q', 'd', 'd')
('q', 'd', 'n')
('q', 'd', 'p')
('q', 'd', 'v')
('q', 'd', 'vg')
('q', 'f', 'd')
('q', 'm', 'n')
('q', 'm', 'nr')
('q', 'm', 'p')
('q', 'm', 'v')
('q', 'n', 'f')
('q', 'n', 'n')
('q', 'n', 'uj')
('q', 'n', 'ul')
('q', 'n', 'vn')
('q', 'n', 'x')
('q', 'ng', 'n')
('q', 'nr', 'd')
('q', 'nr', 'x')
('q', 'nz', 'x')
('q', 'p', 'ug')
('q', 'p', 'v')
('q', 'q', 'uj')
('q', 'r', 'v')
('q', 'r', 'x')
('q', 't', 'n')
('q', 't', 'uj')
('q', 't', 'v')
('q', 'uj', 'n')
('q', 'uj', 'x')
('q', 'ul', 'm')
('q', 'ul', 'x')
('q', 'v', 'd')
('q', 'v', 'j')
('q', 'v', 'n')
('q', 'v', 'ng')
('q', 'v', 'ug')
('q', 'v', 'uj')
('q', 'v', 'v')
('q', 'v', 'x')
('q', 'vg', 'r')
('q', 'vn', 'a')
('q', 'x', 'c')
('q', 'x', 'n')
('q', 'x', 'r')
('q', 'x', 'v')
('q', 'x', 'x')
('q', 'x', 'zg')
('q', 'y', 'x')
('q', 'yg', 'd')
('q', 'yg', 'v')
('q', 'yg', 'x')
('q', 'z', 'n')
('r', 'a', 'a')
('r', 'a', 'd')
('r', 'a', 'n')
('r', 'a', 'ng')
('r', 'a', 'uj')
('r', 'a', 'ul')
('r', 'a', 'uv')
('r', 'a', 'v')
('r', 'a', 'x')
('r', 'a', 'zg')
('r', 'ad', 'd')
('r', 'ad', 'n')
('r', 'ad', 'uv')
('r', 'ad', 'v')
('r', 'b', 'n')
('r', 'b', 'uj')
('r', 'b', 'v')
('r', 'c', 'd')
('r', 'c', 'h')
('r', 'c', 'm')
('r', 'c', 'n')
('r', 'c', 'p')
('r', 'c', 'r')
('r', 'c', 'uj')
('r', 'c', 'v')
('r', 'c', 'x')
('r', 'd', 'a')
('r', 'd', 'ad')
('r', 'd', 'c')
('r', 'd', 'd')
('r', 'd', 'i')
('r', 'd', 'l')
('r', 'd', 'm')
('r', 'd', 'n')
('r', 'd', 'nr')
('r', 'd', 'nz')
('r', 'd', 'p')
('r', 'd', 'r')
('r', 'd', 'u')
('r', 'd', 'ud')
('r', 'd', 'uj')
('r', 'd', 'uv')
('r', 'd', 'v')
('r', 'd', 'vd')
('r', 'd', 'vg')
('r', 'd', 'x')
('r', 'd', 'yg')
('r', 'd', 'z')
('r', 'd', 'zg')
('r', 'df', 'p')
('r', 'df', 'v')
('r', 'f', 'd')
('r', 'f', 'r')
('r', 'f', 'v')
('r', 'f', 'yg')
('r', 'i', 'd')
('r', 'i', 'k')
('r', 'i', 'r')
('r', 'i', 'uv')
('r', 'i', 'x')
('r', 'l', 'r')
('r', 'l', 'uj')
('r', 'l', 'v')
('r', 'l', 'y')
('r', 'l', 'zg')
('r', 'm', 'a')
('r', 'm', 'd')
('r', 'm', 'l')
('r', 'm', 'm')
('r', 'm', 'n')
('r', 'm', 'p')
('r', 'm', 'q')
('r', 'm', 'v')
('r', 'm', 'x')
('r', 'm', 'y')
('r', 'n', 'a')
('r', 'n', 'ad')
('r', 'n', 'c')
('r', 'n', 'd')
('r', 'n', 'f')
('r', 'n', 'm')
('r', 'n', 'n')
('r', 'n', 'nr')
('r', 'n', 'ns')
('r', 'n', 'p')
('r', 'n', 'q')
('r', 'n', 'r')
('r', 'n', 's')
('r', 'n', 'u')
('r', 'n', 'uj')
('r', 'n', 'v')
('r', 'n', 'x')
('r', 'n', 'y')
('r', 'n', 'zg')
('r', 'ng', 'nr')
('r', 'ng', 'uj')
('r', 'nr', 'a')
('r', 'nr', 'nr')
('r', 'nr', 'p')
('r', 'nr', 'uj')
('r', 'nr', 'v')
('r', 'nr', 'x')
('r', 'nr', 'zg')
('r', 'nrt', 'v')
('r', 'ns', 'ul')
('r', 'ns', 'x')
('r', 'nz', 'n')
('r', 'p', 'a')
('r', 'p', 'd')
('r', 'p', 'f')
('r', 'p', 'm')
('r', 'p', 'n')
('r', 'p', 'nr')
('r', 'p', 'ns')
('r', 'p', 'nz')
('r', 'p', 'r')
('r', 'p', 't')
('r', 'p', 'u')
('r', 'p', 'uj')
('r', 'p', 'v')
('r', 'p', 'vn')
('r', 'q', 'm')
('r', 'q', 'n')
('r', 'q', 'r')
('r', 'q', 't')
('r', 'r', 'a')
('r', 'r', 'd')
('r', 'r', 'm')
('r', 'r', 'n')
('r', 'r', 'nr')
('r', 'r', 'r')
('r', 'r', 'ul')
('r', 'r', 'v')
('r', 'r', 'x')
('r', 's', 'a')
('r', 's', 'n')
('r', 's', 'r')
('r', 's', 'zg')
('r', 't', 'd')
('r', 't', 'nt')
('r', 't', 'r')
('r', 't', 'uj')
('r', 't', 'v')
('r', 'u', 'd')
('r', 'u', 'n')
('r', 'u', 'r')
('r', 'u', 'v')
('r', 'ud', 'd')
('r', 'ug', 'ul')
('r', 'uj', 'a')
('r', 'uj', 'an')
('r', 'uj', 'eng')
('r', 'uj', 'm')
('r', 'uj', 'n')
('r', 'uj', 'nr')
('r', 'uj', 'nz')
('r', 'uj', 'q')
('r', 'uj', 'r')
('r', 'uj', 's')
('r', 'uj', 't')
('r', 'uj', 'v')
('r', 'uj', 'vn')
('r', 'uj', 'x')
('r', 'uj', 'y')
('r', 'ul', 'x')
('r', 'v', 'a')
('r', 'v', 'ad')
('r', 'v', 'c')
('r', 'v', 'd')
('r', 'v', 'f')
('r', 'v', 'g')
('r', 'v', 'i')
('r', 'v', 'j')
('r', 'v', 'l')
('r', 'v', 'm')
('r', 'v', 'n')
('r', 'v', 'ng')
('r', 'v', 'nr')
('r', 'v', 'ns')
('r', 'v', 'nz')
('r', 'v', 'p')
('r', 'v', 'q')
('r', 'v', 'r')
('r', 'v', 't')
('r', 'v', 'ud')
('r', 'v', 'ug')
('r', 'v', 'uj')
('r', 'v', 'ul')
('r', 'v', 'uv')
('r', 'v', 'v')
('r', 'v', 'vg')
('r', 'v', 'vn')
('r', 'v', 'x')
('r', 'v', 'y')
('r', 'v', 'yg')
('r', 'v', 'zg')
('r', 'vd', 'v')
('r', 'vg', 'ul')
('r', 'vg', 'zg')
('r', 'vn', 'uj')
('r', 'vn', 'v')
('r', 'vn', 'x')
('r', 'x', 'a')
('r', 'x', 'c')
('r', 'x', 'd')
('r', 'x', 'm')
('r', 'x', 'n')
('r', 'x', 'nr')
('r', 'x', 'ns')
('r', 'x', 'p')
('r', 'x', 'r')
('r', 'x', 's')
('r', 'x', 't')
('r', 'x', 'u')
('r', 'x', 'v')
('r', 'y', 'c')
('r', 'y', 'd')
('r', 'y', 'n')
('r', 'y', 'nr')
('r', 'y', 'r')
('r', 'y', 'uj')
('r', 'y', 'v')
('r', 'y', 'x')
('r', 'y', 'y')
('r', 'yg', 'v')
('r', 'z', 'uj')
('r', 'z', 'uv')
('r', 'zg', 'r')
('r', 'zg', 'v')
('r', 'zg', 'x')
('rr', 'v', 'ul')
('rr', 'vn', 'd')
('s', 'a', 'uj')
('s', 'a', 'x')
('s', 'b', 'v')
('s', 'c', 'm')
('s', 'd', 'd')
('s', 'd', 'n')
('s', 'd', 'v')
('s', 'f', 'v')
('s', 'i', 'y')
('s', 'm', 'n')
('s', 'n', 'd')
('s', 'n', 'uj')
('s', 'n', 'v')
('s', 'nz', 'x')
('s', 'r', 'c')
('s', 'r', 'd')
('s', 's', 'nz')
('s', 'uj', 'n')
('s', 'v', 'm')
('s', 'v', 'ul')
('s', 'v', 'x')
('s', 'v', 'zg')
('s', 'x', 'c')
('s', 'x', 'r')
('s', 'y', 'ul')
('s', 'y', 'x')
('s', 'z', 'uj')
('s', 'zg', 'v')
('t', 'a', 'uj')
('t', 'a', 'v')
('t', 'b', 'n')
('t', 'c', 'n')
('t', 'c', 'x')
('t', 'd', 'a')
('t', 'd', 'c')
('t', 'd', 'd')
('t', 'd', 'v')
('t', 'f', 'n')
('t', 'f', 'v')
('t', 'm', 'v')
('t', 'm', 'vg')
('t', 'n', 'n')
('t', 'n', 'uj')
('t', 'n', 'x')
('t', 'ng', 'r')
('t', 'nr', 'x')
('t', 'nt', 'n')
('t', 'p', 'nr')
('t', 'p', 'r')
('t', 'p', 'ul')
('t', 'r', 'a')
('t', 'r', 'c')
('t', 'r', 'p')
('t', 'r', 's')
('t', 'r', 'u')
('t', 'r', 'uj')
('t', 'r', 'v')
('t', 't', 'p')
('t', 'u', 'v')
('t', 'uj', 'n')
('t', 'uj', 'r')
('t', 'ul', 'y')
('t', 'v', 'a')
('t', 'v', 'n')
('t', 'v', 'q')
('t', 'v', 'r')
('t', 'v', 't')
('t', 'v', 'ug')
('t', 'v', 'uj')
('t', 'v', 'v')
('t', 'v', 'x')
('t', 'x', 'c')
('t', 'x', 'd')
('t', 'x', 'n')
('t', 'x', 'r')
('t', 'x', 't')
('t', 'x', 'v')
('t', 'x', 'x')
('t', 'y', 'x')
('tg', 'p', 'd')
('tg', 'uj', 'v')
('tg', 'v', 'v')
('tg', 'v', 'x')
('u', 'a', 'x')
('u', 'c', 'd')
('u', 'd', 'l')
('u', 'd', 'n')
('u', 'd', 'uv')
('u', 'm', 'd')
('u', 'n', 'a')
('u', 'n', 'd')
('u', 'n', 'p')
('u', 'n', 'uj')
('u', 'n', 'v')
('u', 'n', 'x')
('u', 'nr', 'v')
('u', 'nr', 'x')
('u', 'nrt', 'v')
('u', 'r', 'd')
('u', 'r', 'r')
('u', 'r', 'v')
('u', 'uj', 'n')
('u', 'uv', 'd')
('u', 'v', 'a')
('u', 'v', 'l')
('u', 'v', 'n')
('u', 'v', 'uj')
('u', 'v', 'v')
('u', 'v', 'x')
('u', 'x', 'c')
('u', 'x', 'd')
('u', 'x', 'l')
('u', 'x', 'r')
('u', 'x', 'v')
('u', 'x', 'vn')
('u', 'x', 'x')
('u', 'y', 'x')
('ud', 'a', 'n')
('ud', 'a', 'x')
('ud', 'd', 'a')
('ud', 'd', 'v')
('ud', 'i', 'n')
('ud', 'm', 'uj')
('ud', 'n', 'n')
('ud', 'ul', 'm')
('ud', 'v', 'q')
('ud', 'v', 'r')
('ud', 'v', 'x')
('ud', 'y', 'j')
('ug', 'm', 'd')
('ug', 'm', 'm')
('ug', 'm', 'vn')
('ug', 'n', 'uj')
('ug', 'nr', 'x')
('ug', 'q', 'f')
('ug', 'r', 'a')
('ug', 'uj', 'n')
('ug', 'uj', 'v')
('ug', 'uj', 'x')
('ug', 'ul', 'm')
('ug', 'ul', 'n')
('ug', 'ul', 'r')
('ug', 'ul', 'x')
('ug', 'ul', 'y')
('ug', 'v', 'm')
('ug', 'x', 'nr')
('ug', 'x', 'r')
('ug', 'x', 'x')
('uj', 'a', 'a')
('uj', 'a', 'n')
('uj', 'a', 'ng')
('uj', 'a', 'p')
('uj', 'a', 'ul')
('uj', 'a', 'v')
('uj', 'a', 'vg')
('uj', 'a', 'vn')
('uj', 'a', 'x')
('uj', 'a', 'zg')
('uj', 'an', 'ad')
('uj', 'an', 'n')
('uj', 'c', 'c')
('uj', 'c', 'v')
('uj', 'c', 'x')
('uj', 'd', 'c')
('uj', 'd', 'd')
('uj', 'd', 'n')
('uj', 'd', 'nr')
('uj', 'd', 'p')
('uj', 'd', 'v')
('uj', 'd', 'x')
('uj', 'd', 'y')
('uj', 'eng', 'x')
('uj', 'i', 'x')
('uj', 'j', 'n')
('uj', 'l', 'n')
('uj', 'l', 'x')
('uj', 'm', 'm')
('uj', 'm', 'n')
('uj', 'm', 't')
('uj', 'm', 'v')
('uj', 'm', 'x')
('uj', 'mq', 'x')
('uj', 'n', 'a')
('uj', 'n', 'ad')
('uj', 'n', 'c')
('uj', 'n', 'd')
('uj', 'n', 'f')
('uj', 'n', 'j')
('uj', 'n', 'l')
('uj', 'n', 'm')
('uj', 'n', 'n')
('uj', 'n', 'ng')
('uj', 'n', 'nr')
('uj', 'n', 'p')
('uj', 'n', 'q')
('uj', 'n', 'r')
('uj', 'n', 's')
('uj', 'n', 'u')
('uj', 'n', 'uj')
('uj', 'n', 'ul')
('uj', 'n', 'v')
('uj', 'n', 'vd')
('uj', 'n', 'vg')
('uj', 'n', 'vn')
('uj', 'n', 'x')
('uj', 'n', 'y')
('uj', 'n', 'yg')
('uj', 'n', 'zg')
('uj', 'ng', 'm')
('uj', 'ng', 'nr')
('uj', 'ng', 'q')
('uj', 'ng', 'v')
('uj', 'ng', 'zg')
('uj', 'nr', 'd')
('uj', 'nr', 'n')
('uj', 'nr', 'uj')
('uj', 'nr', 'x')
('uj', 'nr', 'zg')
('uj', 'ns', 'x')
('uj', 'ns', 'zg')
('uj', 'nz', 'p')
('uj', 'q', 'a')
('uj', 'q', 'y')
('uj', 'q', 'yg')
('uj', 'r', 'd')
('uj', 'r', 'n')
('uj', 'r', 'nr')
('uj', 'r', 'q')
('uj', 'r', 'u')
('uj', 'r', 'v')
('uj', 'r', 'x')
('uj', 'r', 'y')
('uj', 's', 'c')
('uj', 's', 'm')
('uj', 's', 'v')
('uj', 's', 'x')
('uj', 's', 'y')
('uj', 't', 'r')
('uj', 't', 'x')
('uj', 'ug', 'q')
('uj', 'ul', 'x')
('uj', 'v', 'a')
('uj', 'v', 'ad')
('uj', 'v', 'd')
('uj', 'v', 'm')
('uj', 'v', 'n')
('uj', 'v', 'ng')
('uj', 'v', 'ns')
('uj', 'v', 'p')
('uj', 'v', 'q')
('uj', 'v', 'uj')
('uj', 'v', 'ul')
('uj', 'v', 'v')
('uj', 'v', 'x')
('uj', 'v', 'zg')
('uj', 'vg', 'p')
('uj', 'vg', 'q')
('uj', 'vg', 'v')
('uj', 'vn', 'd')
('uj', 'vn', 'n')
('uj', 'vn', 'p')
('uj', 'vn', 'v')
('uj', 'vn', 'x')
('uj', 'x', 'a')
('uj', 'x', 'c')
('uj', 'x', 'd')
('uj', 'x', 'n')
('uj', 'x', 'p')
('uj', 'x', 'r')
('uj', 'x', 'v')
('uj', 'x', 'vg')
('uj', 'x', 'x')
('uj', 'x', 'zg')
('uj', 'y', 'j')
('uj', 'y', 'q')
('uj', 'y', 'x')
('uj', 'z', 'v')
('ul', 'a', 'p')
('ul', 'a', 'uj')
('ul', 'an', 'x')
('ul', 'c', 'a')
('ul', 'd', 'nr')
('ul', 'd', 'p')
('ul', 'd', 'r')
('ul', 'd', 'x')
('ul', 'eng', 'q')
('ul', 'i', 'uj')
('ul', 'l', 'n')
('ul', 'm', 'a')
('ul', 'm', 'b')
('ul', 'm', 'd')
('ul', 'm', 'i')
('ul', 'm', 'm')
('ul', 'm', 'n')
('ul', 'm', 'q')
('ul', 'm', 't')
('ul', 'm', 'uj')
('ul', 'm', 'v')
('ul', 'm', 'x')
('ul', 'm', 'z')
('ul', 'm', 'zg')
('ul', 'n', 'f')
('ul', 'n', 'm')
('ul', 'n', 'n')
('ul', 'n', 'nr')
('ul', 'n', 'p')
('ul', 'n', 'u')
('ul', 'n', 'uj')
('ul', 'n', 'v')
('ul', 'n', 'vn')
('ul', 'n', 'x')
('ul', 'n', 'zg')
('ul', 'nrt', 'd')
('ul', 'ns', 'ns')
('ul', 'ns', 'x')
('ul', 'q', 'm')
('ul', 'q', 'n')
('ul', 'q', 'r')
('ul', 'q', 'v')
('ul', 'q', 'x')
('ul', 'r', 'a')
('ul', 'r', 'c')
('ul', 'r', 'm')
('ul', 'r', 'n')
('ul', 'r', 'q')
('ul', 'r', 'r')
('ul', 'r', 'v')
('ul', 'r', 'x')
('ul', 't', 'uj')
('ul', 't', 'x')
('ul', 'v', 'd')
('ul', 'v', 't')
('ul', 'v', 'uj')
('ul', 'v', 'x')
('ul', 'x', 'a')
('ul', 'x', 'c')
('ul', 'x', 'd')
('ul', 'x', 'df')
('ul', 'x', 'n')
('ul', 'x', 'p')
('ul', 'x', 'r')
('ul', 'x', 'v')
('ul', 'x', 'vn')
('ul', 'x', 'x')
('ul', 'x', 'zg')
('ul', 'y', 'x')
('ul', 'zg', 'n')
('uv', 'd', 'v')
('uv', 'm', 'y')
('uv', 'n', 'f')
('uv', 'n', 'v')
('uv', 'ng', 'y')
('uv', 'p', 'nr')
('uv', 'p', 'r')
('uv', 'p', 's')
('uv', 'r', 'v')
('uv', 'v', 'an')
('uv', 'v', 'm')
('uv', 'v', 'n')
('uv', 'v', 'nr')
('uv', 'v', 'p')
('uv', 'v', 'r')
('uv', 'v', 'uj')
('uv', 'v', 'ul')
('uv', 'v', 'v')
('uv', 'v', 'vn')
('uv', 'v', 'x')
('uv', 'vn', 'r')
('uv', 'x', 'm')
('v', 'a', 'a')
('v', 'a', 'n')
('v', 'a', 'nr')
('v', 'a', 'q')
('v', 'a', 'uj')
('v', 'a', 'ul')
('v', 'a', 'uv')
('v', 'a', 'v')
('v', 'a', 'x')
('v', 'a', 'zg')
('v', 'ad', 'a')
('v', 'ad', 'uj')
('v', 'ad', 'uv')
('v', 'ad', 'v')
('v', 'an', 'm')
('v', 'an', 'uj')
('v', 'an', 'x')
('v', 'b', 'm')
('v', 'b', 'uj')
('v', 'b', 'v')
('v', 'b', 'x')
('v', 'c', 'a')
('v', 'c', 'c')
('v', 'c', 'm')
('v', 'c', 'n')
('v', 'c', 'p')
('v', 'c', 'r')
('v', 'c', 'u')
('v', 'c', 'v')
('v', 'c', 'zg')
('v', 'd', 'a')
('v', 'd', 'ad')
('v', 'd', 'an')
('v', 'd', 'c')
('v', 'd', 'd')
('v', 'd', 'i')
('v', 'd', 'm')
('v', 'd', 'n')
('v', 'd', 'ng')
('v', 'd', 'nr')
('v', 'd', 'p')
('v', 'd', 'r')
('v', 'd', 't')
('v', 'd', 'uj')
('v', 'd', 'uv')
('v', 'd', 'v')
('v', 'd', 'vn')
('v', 'd', 'x')
('v', 'd', 'y')
('v', 'd', 'z')
('v', 'e', 'x')
('v', 'f', 'a')
('v', 'f', 'n')
('v', 'f', 'r')
('v', 'f', 'ul')
('v', 'f', 'v')
('v', 'f', 'x')
('v', 'g', 'v')
('v', 'i', 'n')
('v', 'i', 'uj')
('v', 'i', 'x')
('v', 'j', 'n')
('v', 'j', 'uj')
('v', 'k', 'x')
('v', 'l', 'p')
('v', 'l', 'r')
('v', 'l', 'uj')
('v', 'l', 'x')
('v', 'm', 'a')
('v', 'm', 'ad')
('v', 'm', 'd')
('v', 'm', 'f')
('v', 'm', 'l')
('v', 'm', 'm')
('v', 'm', 'n')
('v', 'm', 'nr')
('v', 'm', 'nrt')
('v', 'm', 'nz')
('v', 'm', 'p')
('v', 'm', 'q')
('v', 'm', 'r')
('v', 'm', 't')
('v', 'm', 'u')
('v', 'm', 'uj')
('v', 'm', 'ul')
('v', 'm', 'v')
('v', 'm', 'x')
('v', 'm', 'y')
('v', 'm', 'zg')
('v', 'n', 'a')
('v', 'n', 'ad')
('v', 'n', 'an')
('v', 'n', 'b')
('v', 'n', 'c')
('v', 'n', 'd')
('v', 'n', 'f')
('v', 'n', 'g')
('v', 'n', 'm')
('v', 'n', 'n')
('v', 'n', 'nr')
('v', 'n', 'p')
('v', 'n', 'q')
('v', 'n', 'r')
('v', 'n', 's')
('v', 'n', 't')
('v', 'n', 'u')
('v', 'n', 'uj')
('v', 'n', 'ul')
('v', 'n', 'uv')
('v', 'n', 'v')
('v', 'n', 'vn')
('v', 'n', 'x')
('v', 'n', 'y')
('v', 'n', 'zg')
('v', 'ng', 'd')
('v', 'ng', 'f')
('v', 'ng', 'm')
('v', 'ng', 'n')
('v', 'ng', 'nr')
('v', 'ng', 'p')
('v', 'ng', 'v')
('v', 'ng', 'x')
('v', 'nr', 'c')
('v', 'nr', 'd')
('v', 'nr', 'm')
('v', 'nr', 'n')
('v', 'nr', 'r')
('v', 'nr', 'uj')
('v', 'nr', 'v')
('v', 'nr', 'x')
('v', 'nr', 'yg')
('v', 'nr', 'zg')
('v', 'nrt', 'zg')
('v', 'ns', 'a')
('v', 'ns', 'c')
('v', 'ns', 'j')
('v', 'ns', 'n')
('v', 'ns', 'uj')
('v', 'ns', 'vn')
('v', 'ns', 'x')
('v', 'ns', 'yg')
('v', 'nz', 'uj')
('v', 'nz', 'x')
('v', 'p', 'a')
('v', 'p', 'd')
('v', 'p', 'f')
('v', 'p', 'j')
('v', 'p', 'm')
('v', 'p', 'n')
('v', 'p', 'ng')
('v', 'p', 'nz')
('v', 'p', 'p')
('v', 'p', 'r')
('v', 'p', 'rr')
('v', 'p', 's')
('v', 'p', 'uj')
('v', 'p', 'v')
('v', 'p', 'vn')
('v', 'p', 'zg')
('v', 'q', 'a')
('v', 'q', 'd')
('v', 'q', 'n')
('v', 'q', 'ng')
('v', 'q', 'nr')
('v', 'q', 'nz')
('v', 'q', 'r')
('v', 'q', 'ul')
('v', 'q', 'v')
('v', 'q', 'vn')
('v', 'q', 'x')
('v', 'q', 'z')
('v', 'r', 'a')
('v', 'r', 'ad')
('v', 'r', 'b')
('v', 'r', 'c')
('v', 'r', 'd')
('v', 'r', 'f')
('v', 'r', 'i')
('v', 'r', 'l')
('v', 'r', 'm')
('v', 'r', 'n')
('v', 'r', 'ng')
('v', 'r', 'nr')
('v', 'r', 'nrt')
('v', 'r', 'ns')
('v', 'r', 'nz')
('v', 'r', 'p')
('v', 'r', 'q')
('v', 'r', 'r')
('v', 'r', 't')
('v', 'r', 'u')
('v', 'r', 'uj')
('v', 'r', 'ul')
('v', 'r', 'v')
('v', 'r', 'x')
('v', 'r', 'y')
('v', 'r', 'yg')
('v', 'r', 'z')
('v', 'r', 'zg')
('v', 's', 'uj')
('v', 't', 'a')
('v', 't', 'b')
('v', 't', 'd')
('v', 't', 'f')
('v', 't', 'n')
('v', 't', 'p')
('v', 't', 'u')
('v', 't', 'uj')
('v', 't', 'ul')
('v', 't', 'v')
('v', 't', 'x')
('v', 'tg', 'uj')
('v', 'tg', 'v')
('v', 'u', 'd')
('v', 'u', 'm')
('v', 'u', 'r')
('v', 'u', 'uj')
('v', 'u', 'v')
('v', 'u', 'x')
('v', 'ud', 'a')
('v', 'ud', 'd')
('v', 'ud', 'i')
('v', 'ud', 'm')
('v', 'ud', 'n')
('v', 'ud', 'ul')
('v', 'ud', 'v')
('v', 'ug', 'm')
('v', 'ug', 'n')
('v', 'ug', 'nr')
('v', 'ug', 'r')
('v', 'ug', 'uj')
('v', 'ug', 'ul')
('v', 'ug', 'v')
('v', 'ug', 'x')
('v', 'uj', 'a')
('v', 'uj', 'c')
('v', 'uj', 'd')
('v', 'uj', 'l')
('v', 'uj', 'm')
('v', 'uj', 'n')
('v', 'uj', 'nr')
('v', 'uj', 'ns')
('v', 'uj', 'r')
('v', 'uj', 't')
('v', 'uj', 'ul')
('v', 'uj', 'v')
('v', 'uj', 'vn')
('v', 'uj', 'x')
('v', 'uj', 'y')
('v', 'ul', 'a')
('v', 'ul', 'an')
('v', 'ul', 'c')
('v', 'ul', 'd')
('v', 'ul', 'eng')
('v', 'ul', 'l')
('v', 'ul', 'm')
('v', 'ul', 'n')
('v', 'ul', 'nrt')
('v', 'ul', 'ns')
('v', 'ul', 'q')
('v', 'ul', 'r')
('v', 'ul', 't')
('v', 'ul', 'v')
('v', 'ul', 'x')
('v', 'ul', 'y')
('v', 'uv', 'n')
('v', 'uv', 'ng')
('v', 'uv', 'p')
('v', 'uv', 'v')
('v', 'v', 'a')
('v', 'v', 'ad')
('v', 'v', 'b')
('v', 'v', 'c')
